source,raw_text
中华人民共和国二〇二五年县级以上行政区划变更情况,撤销江北区、渝北区，设立两江新区，以原江北区、原渝北区（不含大湾镇、统景镇、大盛镇、兴隆镇、茨竹镇）和北碚区的水土街道、复兴街道、蔡家岗街道、施家梁镇、童家溪镇的行政区域为两江新区的行政区域，两江新区人民政府驻金山街道金渝大道66号。将北碚区的水土街道、复兴街道、蔡家岗街道、施家梁镇、童家溪镇划归两江新区管辖，将原渝北区的大湾镇、统景镇、大盛镇、兴隆镇、茨竹镇划归北碚区管辖。
中华人民共和国二〇二四年县级以上行政区划变更情况,首页组织机构新闻中心信息公开交流互动政务服务民政数据民政文化部领导主要职责机构设置时政要闻民政要闻通知公告业务动态地方动态媒体报道专题报道新闻发布会政策政府信息公开指南政府信息公开制度法定主动公开内容政府信息公开年报民政部文告转隶部门相关文件留言咨询留言查询留言统计征求意见网上信访社会组织投诉举报民政政务服务平台行政审批便民指南查询服务统计数据法规制度及统计标准走近民政部最美基层民政人业务与文化视频专区首页组织机构部领导主要职责机构设置新闻中心时政要闻民政要闻通知公告业务动态地方动态媒体报道专题报道新闻发布会信息公开政策政府信息公开指南政府信息公开制度法定主动公开内容政府信息公开年报民政部文告转隶部门相关文件交流互动留言咨询留言查询留言统计民政部网上信访社会组织投诉举报征求意见政务服务民政政务服务平台行政审批便民指南查询服务民政数据统计数据法规制度及统计标准民政文化走近民政部最美基层民政人业务与文化视频专区     当前位置：首页 > 政务服务 > 查询服务 > 全国行政区划信息查询平台 > 县级以上行政区划变更情况  中华人民共和国二〇二四年县级以上行政区划变更情况（以行政区划变更公布时间为序）一、新疆维吾尔自治区调整图木舒克市与克孜勒苏柯尔克孜自治州阿图什市、乌恰县行政区划将克孜勒苏柯尔克孜自治州阿图什市、乌恰县部分行政区域划归图木舒克市管辖。（新疆维吾尔自治区人民政府2024年5月31日公告）二、新疆维吾尔自治区调整铁门关市与巴音郭楞蒙古自治州和静县、焉耆回族自治县、博湖县、尉犁县、且末县行政区划将巴音郭楞蒙古自治州和静县、焉耆回族自治县、博湖县、尉犁县、且末县部分行政区域划归铁门关市管辖。（新疆维吾尔自治区人民政府2024年5月31日公告）三、云南省调整德钦县与维西傈僳族自治县行政区划将维西傈僳族自治县叶枝镇、巴迪乡划归德钦县管辖。（云南省人民政府2024年9月27日公告）四、新疆维吾尔自治区设立和康县设立和康县，和康县人民政府驻赛图拉镇。和康县由和田地区管辖。（新疆维吾尔自治区人民政府2024年12月27日公告）五、新疆维吾尔自治区设立和安县设立和安县，和安县人民政府驻红柳镇。和安县由和田地区管辖。（新疆维吾尔自治区人民政府2024年12月27日公告）为了保证网站的正常显示，建议您使用Chrome或者Firefox浏览器。意见或建议请发至邮箱：mzbxzqh@163.com中国政府网国务院部门网站外交部国防部国家发展和改革委员会教育部科学技术部工业和信息化部国家民族事务委员会公安部民政部司法部人力资源和社会保障部生态环境部自然资源部住房和城乡建设部交通运输部水利部农业农村部商务部文化和旅游部国家卫生健康委员会退役军人事务部应急管理部中国人民银行审计署国有资产监督管理委员会海关总署国家税务总局国家市场监督管理总局国家广播电视总局国家体育总局国家统计局国家国际发展合作署国家医疗保障局国务院参事室国家机关事务管理局国务院研究室国务院港澳事务办公室中国科学院中国社会科学院中国工程院国务院发展研究中心中国气象局中国银行保险监督管理委员会中国证券监督管理委员会国家信访局国家粮食和物资储备局国家能源局国家国防科技工业局国家烟草专卖局国家移民管理局国家林业和草原局国家铁路局中国民航局国家邮政局国家文物局国家中医药管理局国家矿山安全监察局国家外汇管理局国家药品监督管理局国家知识产权局直属单位网站北京社会管理职业学院（民政部培训中心）民政部政策研究中心中国社会报社中国社会出版社中国福利彩票发行管理中心民政部地名研究所中国儿童福利和收养中心民政部信息中心国家康复辅具研究中心民政部一零一研究所海峡两岸婚姻家庭服务网民政部低收入家庭认定指导中心地方民政网站北京民政天津民政河北民政山西民政内蒙古民政辽宁民政吉林民政黑龙江民政上海民政江苏民政浙江民政安徽民政福建民政江西民政山东民政河南民政湖北民政湖南民政广东民政广西民政海南民政重庆民政四川民政贵州民政云南民政西藏民政陕西民政甘肃民政宁夏民政新疆民政媒体人民网新华社光明日报中国经济网中国日报中央人民广播电视台中国青年网国际在线光明网央视网中国网联系我们网站地图版权所有：中华人民共和国民政部网站标识码：bm12000003ICP备案编号：京ICP备13012430号京公网安备11040102700079号民政系统政务新媒体矩阵版权所有：中华人民共和国民政部
中华人民共和国二〇二四年县级以上行政区划变更情况,中华人民共和国二〇二四年县级以上行政区划变更情况（以行政区划变更公布时间为序）一、新疆维吾尔自治区调整图木舒克市与克孜勒苏柯尔克孜自治州阿图什市、乌恰县行政区划将克孜勒苏柯尔克孜自治州阿图什市、乌恰县部分行政区域划归图木舒克市管辖。（新疆维吾尔自治区人民政府2024年5月31日公告）二、新疆维吾尔自治区调整铁门关市与巴音郭楞蒙古自治州和静县、焉耆回族自治县、博湖县、尉犁县、且末县行政区划将巴音郭楞蒙古自治州和静县、焉耆回族自治县、博湖县、尉犁县、且末县部分行政区域划归铁门关市管辖。（新疆维吾尔自治区人民政府2024年5月31日公告）三、云南省调整德钦县与维西傈僳族自治县行政区划将维西傈僳族自治县叶枝镇、巴迪乡划归德钦县管辖。（云南省人民政府2024年9月27日公告）四、新疆维吾尔自治区设立和康县设立和康县，和康县人民政府驻赛图拉镇。和康县由和田地区管辖。（新疆维吾尔自治区人民政府2024年12月27日公告）五、新疆维吾尔自治区设立和安县设立和安县，和安县人民政府驻红柳镇。和安县由和田地区管辖。（新疆维吾尔自治区人民政府2024年12月27日公告）
中华人民共和国二〇二四年县级以上行政区划变更情况,一、新疆维吾尔自治区调整图木舒克市与克孜勒苏柯尔克孜自治州阿图什市、乌恰县行政区划将克孜勒苏柯尔克孜自治州阿图什市、乌恰县部分行政区域划归图木舒克市管辖。（新疆维吾尔自治区人民政府2024年5月31日公告）二、新疆维吾尔自治区调整铁门关市与巴音郭楞蒙古自治州和静县、焉耆回族自治县、博湖县、尉犁县、且末县行政区划将巴音郭楞蒙古自治州和静县、焉耆回族自治县、博湖县、尉犁县、且末县部分行政区域划归铁门关市管辖。（新疆维吾尔自治区人民政府2024年5月31日公告）三、云南省调整德钦县与维西傈僳族自治县行政区划将维西傈僳族自治县叶枝镇、巴迪乡划归德钦县管辖。（云南省人民政府2024年9月27日公告）四、新疆维吾尔自治区设立和康县设立和康县，和康县人民政府驻赛图拉镇。和康县由和田地区管辖。（新疆维吾尔自治区人民政府2024年12月27日公告）五、新疆维吾尔自治区设立和安县设立和安县，和安县人民政府驻红柳镇。和安县由和田地区管辖。（新疆维吾尔自治区人民政府2024年12月27日公告）
中华人民共和国二〇二四年县级以上行政区划变更情况,将克孜勒苏柯尔克孜自治州阿图什市、乌恰县部分行政区域划归图木舒克市管辖。
中华人民共和国二〇二四年县级以上行政区划变更情况,将巴音郭楞蒙古自治州和静县、焉耆回族自治县、博湖县、尉犁县、且末县部分行政区域划归铁门关市管辖。
中华人民共和国二〇二四年县级以上行政区划变更情况,将维西傈僳族自治县叶枝镇、巴迪乡划归德钦县管辖。
中华人民共和国二〇二四年县级以上行政区划变更情况,四、新疆维吾尔自治区设立和康县
中华人民共和国二〇二四年县级以上行政区划变更情况,设立和康县，和康县人民政府驻赛图拉镇。和康县由和田地区管辖。
中华人民共和国二〇二四年县级以上行政区划变更情况,五、新疆维吾尔自治区设立和安县
中华人民共和国二〇二四年县级以上行政区划变更情况,设立和安县，和安县人民政府驻红柳镇。和安县由和田地区管辖。
中华人民共和国二〇二三年县级以上行政区划变更情况,"首页组织机构新闻中心信息公开交流互动政务服务民政数据民政文化部领导主要职责机构设置时政要闻民政要闻通知公告业务动态地方动态媒体报道专题报道新闻发布会政策政府信息公开指南政府信息公开制度法定主动公开内容政府信息公开年报民政部文告转隶部门相关文件留言咨询留言查询留言统计征求意见网上信访社会组织投诉举报民政政务服务平台行政审批便民指南查询服务统计数据法规制度及统计标准走近民政部最美基层民政人业务与文化视频专区首页组织机构部领导主要职责机构设置新闻中心时政要闻民政要闻通知公告业务动态地方动态媒体报道专题报道新闻发布会信息公开政策政府信息公开指南政府信息公开制度法定主动公开内容政府信息公开年报民政部文告转隶部门相关文件交流互动留言咨询留言查询留言统计民政部网上信访社会组织投诉举报征求意见政务服务民政政务服务平台行政审批便民指南查询服务民政数据统计数据法规制度及统计标准民政文化走近民政部最美基层民政人业务与文化视频专区     当前位置：首页 > 政务服务 > 查询服务 > 全国行政区划信息查询平台 > 县级以上行政区划变更情况  中华人民共和国二〇二三年县级以上行政区划变更情况（以行政区划变更公布时间为序）一、新疆维吾尔自治区设立县级白杨市设立县级白杨市。白杨市人民政府驻光明路1号。白杨市由新疆维吾尔自治区直辖，管理方式按有关文件规定执行。（新疆维吾尔自治区人民政府2023年1月20日公告）二、西藏自治区撤销错那县设立县级错那市撤销错那县，设立县级错那市，以原错那县的行政区域为错那市行政区域。错那市人民政府驻麻麻门巴民族乡。错那市由西藏自治区直辖，山南市代管。（西藏自治区人民政府2023年4月3日公布）三、西藏自治区撤销米林县设立县级米林市撤销米林县,设立县级米林市，以原米林县的行政区域为米林市行政区域。米林市人民政府驻米林镇。米林市由西藏自治区直辖，林芝市代管。（西藏自治区人民政府2023年4月3日公布）为了保证网站的正常显示，建议您使用Chrome或者Firefox浏览器。意见或建议请发至邮箱：mzbxzqh@163.com中国政府网国务院部门网站外交部国防部国家发展和改革委员会教育部科学技术部工业和信息化部国家民族事务委员会公安部民政部司法部人力资源和社会保障部生态环境部自然资源部住房和城乡建设部交通运输部水利部农业农村部商务部文化和旅游部国家卫生健康委员会退役军人事务部应急管理部中国人民银行审计署国有资产监督管理委员会海关总署国家税务总局国家市场监督管理总局国家广播电视总局国家体育总局国家统计局国家国际发展合作署国家医疗保障局国务院参事室国家机关事务管理局国务院研究室国务院港澳事务办公室中国科学院中国社会科学院中国工程院国务院发展研究中心中国气象局中国银行保险监督管理委员会中国证券监督管理委员会国家信访局国家粮食和物资储备局国家能源局国家国防科技工业局国家烟草专卖局国家移民管理局国家林业和草原局国家铁路局中国民航局国家邮政局国家文物局国家中医药管理局国家矿山安全监察局国家外汇管理局国家药品监督管理局国家知识产权局直属单位网站北京社会管理职业学院（民政部培训中心）民政部政策研究中心中国社会报社中国社会出版社中国福利彩票发行管理中心民政部地名研究所中国儿童福利和收养中心民政部信息中心国家康复辅具研究中心民政部一零一研究所海峡两岸婚姻家庭服务网民政部低收入家庭认定指导中心地方民政网站北京民政天津民政河北民政山西民政内蒙古民政辽宁民政吉林民政黑龙江民政上海民政江苏民政浙江民政安徽民政福建民政江西民政山东民政河南民政湖北民政湖南民政广东民政广西民政海南民政重庆民政四川民政贵州民政云南民政西藏民政陕西民政甘肃民政宁夏民政新疆民政媒体人民网新华社光明日报中国经济网中国日报中央人民广播电视台中国青年网国际在线光明网央视网中国网联系我们网站地图版权所有：中华人民共和国民政部网站标识码：bm12000003ICP备案编号：京ICP备13012430号京公网安备11040102700079号民政系统政务新媒体矩阵版权所有：中华人民共和国民政部"
中华人民共和国二〇二三年县级以上行政区划变更情况,"中华人民共和国二〇二三年县级以上行政区划变更情况（以行政区划变更公布时间为序）一、新疆维吾尔自治区设立县级白杨市设立县级白杨市。白杨市人民政府驻光明路1号。白杨市由新疆维吾尔自治区直辖，管理方式按有关文件规定执行。（新疆维吾尔自治区人民政府2023年1月20日公告）二、西藏自治区撤销错那县设立县级错那市撤销错那县，设立县级错那市，以原错那县的行政区域为错那市行政区域。错那市人民政府驻麻麻门巴民族乡。错那市由西藏自治区直辖，山南市代管。（西藏自治区人民政府2023年4月3日公布）三、西藏自治区撤销米林县设立县级米林市撤销米林县,设立县级米林市，以原米林县的行政区域为米林市行政区域。米林市人民政府驻米林镇。米林市由西藏自治区直辖，林芝市代管。（西藏自治区人民政府2023年4月3日公布）"
中华人民共和国二〇二三年县级以上行政区划变更情况,"一、新疆维吾尔自治区设立县级白杨市设立县级白杨市。白杨市人民政府驻光明路1号。白杨市由新疆维吾尔自治区直辖，管理方式按有关文件规定执行。（新疆维吾尔自治区人民政府2023年1月20日公告）二、西藏自治区撤销错那县设立县级错那市撤销错那县，设立县级错那市，以原错那县的行政区域为错那市行政区域。错那市人民政府驻麻麻门巴民族乡。错那市由西藏自治区直辖，山南市代管。（西藏自治区人民政府2023年4月3日公布）三、西藏自治区撤销米林县设立县级米林市撤销米林县,设立县级米林市，以原米林县的行政区域为米林市行政区域。米林市人民政府驻米林镇。米林市由西藏自治区直辖，林芝市代管。（西藏自治区人民政府2023年4月3日公布）"
中华人民共和国二〇二三年县级以上行政区划变更情况,一、新疆维吾尔自治区设立县级白杨市
中华人民共和国二〇二三年县级以上行政区划变更情况,设立县级白杨市。白杨市人民政府驻光明路1号。白杨市由新疆维吾尔自治区直辖，管理方式按有关文件规定执行。
中华人民共和国二〇二三年县级以上行政区划变更情况,二、西藏自治区撤销错那县设立县级错那市
中华人民共和国二〇二三年县级以上行政区划变更情况,撤销错那县，设立县级错那市，以原错那县的行政区域为错那市行政区域。错那市人民政府驻麻麻门巴民族乡。错那市由西藏自治区直辖，山南市代管。
中华人民共和国二〇二三年县级以上行政区划变更情况,三、西藏自治区撤销米林县设立县级米林市
中华人民共和国二〇二三年县级以上行政区划变更情况,"撤销米林县,设立县级米林市，以原米林县的行政区域为米林市行政区域。米林市人民政府驻米林镇。米林市由西藏自治区直辖，林芝市代管。"
